address,listing_url,price,dom,status,bedrooms,bathrooms,living_area,year_built,lot_size,zoning_code,FAR,buildable_area,owner_name,last_sale_price,snippet,label,confidence,explanation,data_source,timestamp,development_score
Torn-Down Newton Homes Tend to be Replaced With Bigger ...,https://bcheights.com/215788/metro/torn-down-newton-homes-tend-to-be-replaced-with-bigger-ones-says-zoning-committee/,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,,nan,A study showed that most Newton houses that are torn down are replaced with larger ones. Newton city councilors said that's harmful.,unknown,0.0,Expecting value: line 1 column 1 (char 0),LLM search,2025-10-21T20:12:03.829713,30.0
'That's a house someone was living in': Mass. tries to rein ...,https://www.boston25news.com/news/local/thats-house-someone-was-living-mass-tries-rein-teardowns-smaller-older-homes/EZGDSH2UUFDCVHSZXTXEG2O6YQ/,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,,nan,There is a growing backlash against the trend of tearing down a small ranch or Cape and replacing it with a structure that has two to three times the square ...,unknown,0.0,Expecting value: line 1 column 1 (char 0),LLM search,2025-10-21T20:12:07.498863,30.0
How are housing regulation and demolitions changing in ...,https://figcitynews.com/2025/05/how-are-housing-regulation-and-demolitions-changing-in-newton/,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,,nan,Houses most likely to be demolished in Newton are those that were built in the postwar era of the 1950s and 1960s. source: Newton Planning Dept.,unknown,0.0,Expecting value: line 1 column 1 (char 0),LLM search,2025-10-21T20:12:10.570419,30.0
For sale in Newton: A truce in the teardown wars,https://www.bostonglobe.com/metro/regionals/west/2018/06/08/for-sale-truce-teardown-wars/ZhfBac2ZY3iZoUHoaJWe6J/story.html,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,,nan,"NEWTON â€” To some developers, the Greek Revival house for sale on Morton Street might have seemed like a prime candidate to tear down.",unknown,0.0,Expecting value: line 1 column 1 (char 0),LLM search,2025-10-21T20:12:13.640399,30.0
Discouraging teardowns | Village 14,https://village14.com/2021/03/26/discouraging-teardowns/,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,,nan,"Lots of folks, including candidates in the recent special election, have identified eliminating or limiting teardowns as a key objective of Newton's zoning ...",unknown,0.0,Expecting value: line 1 column 1 (char 0),LLM search,2025-10-21T20:12:16.200029,30.0
The Teardown Wars Are Tearing Boston's Suburbs Apart,https://www.bostonmagazine.com/property/2018/10/11/teardown-wars-boston-suburbs/,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,,nan,"From Wellesley to Arlington, Lexington to Newton, 1950s ranches and choppy Capes are being demolished to make way for mansions with gyms, ...",unknown,0.0,Expecting value: line 1 column 1 (char 0),LLM search,2025-10-21T20:12:18.555251,30.0
"Live from This Old House Generation NEXT House, Part 2 ...",https://www.moneypit.com/live-old-house-generation-next-house-0205182/,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,,nan,"The Money Pit hits the road for a visit with the team at This Old House as they wrap up production on a beautiful 1890 home in Newton, MA.",unknown,0.0,Expecting value: line 1 column 1 (char 0),LLM search,2025-10-21T20:12:21.543884,30.0
Can there be a teardown that everybody agrees on?,https://www.bostonglobe.com/magazine/2015/02/06/can-there-teardown-that-everybody-agrees/Z1ZiqTmEXfAofQGTo3RASP/story.html,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,,nan,"With desirable real estate and very little developable land, Newton now finds itself at the forefront of this new teardowns-at-a-tipping-point ...",unknown,0.0,Expecting value: line 1 column 1 (char 0),LLM search,2025-10-21T20:12:24.189452,30.0
"single-story-home - Newton, MA Homes For Sale and ...","https://www.trulia.com/for_sale/Newton,MA/single-story-home/",nan,nan,,nan,nan,nan,nan,nan,,nan,nan,,nan,"Search 242 Properties in Newton, Massachusetts matching single-story-home. Browse photos, see new properties, get open house info, ...",unknown,0.0,Expecting value: line 1 column 1 (char 0),LLM search,2025-10-21T20:12:27.564597,30.0
"Recently Sold Homes in Newton, MA",https://www.realtor.com/realestateandhomes-search/Newton_MA/show-recently-sold,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,,nan,"Browse 563 recently sold homes in Newton, MA with a median sold price of $1490944. Explore past sales to guide your next real estate purchase.",unknown,0.0,Expecting value: line 1 column 1 (char 0),LLM search,2025-10-21T20:12:29.615209,30.0
